subject,task,avr,top_two
37,4,1.66666666666667,1
37,4,3,0
37,4,1.66666666666667,1
38,1,2,0
38,1,2,1
38,1,1,0
38,1,1.66666666666667,0
38,1,3,0
38,1,1.66666666666667,0
38,1,1.66666666666667,1
38,1,2,0
38,1,1.66666666666667,0
38,1,1.66666666666667,0
38,4,2.33333333333333,1
38,4,1.66666666666667,0
38,4,2,0
38,4,1.33333333333333,0
38,4,2.66666666666667,0
38,4,1.33333333333333,0
38,4,2,0
38,4,1.66666666666667,1
40,1,1,0
40,1,1.66666666666667,0
40,1,2,0
40,1,1.66666666666667,1
40,1,1,0
40,1,3,1
40,1,1,0
40,4,1.66666666666667,0
40,4,2.33333333333333,1
40,4,1.66666666666667,0
40,4,2,1
41,1,1.66666666666667,1
41,1,1.66666666666667,1
41,1,1,0
41,4,2,0
41,4,2,1
41,4,1.66666666666667,0
41,4,2.66666666666667,0
41,4,1.66666666666667,0
41,4,2,1
41,4,2.33333333333333,0
42,1,1.33333333333333,0
42,1,2.33333333333333,1
42,1,1,0
42,1,2.66666666666667,1
42,1,1.66666666666667,0
42,4,2.66666666666667,0
42,4,1.66666666666667,1
42,4,1.33333333333333,0
42,4,2,0
42,4,2,1
42,4,2.66666666666667,0
43,1,3,0
43,1,1.33333333333333,1
43,1,1.33333333333333,1
43,1,1.66666666666667,0
43,4,1.66666666666667,1
43,4,1.66666666666667,0
43,4,1.33333333333333,0
43,4,1,0
43,4,1.66666666666667,0
43,4,1.66666666666667,0
43,4,2,0
43,4,1.66666666666667,0
43,4,2,1
45,1,1.66666666666667,0
45,1,1.66666666666667,1
45,1,1.33333333333333,1
45,4,2,0
45,4,2,1
45,4,1.33333333333333,1
45,4,1,0
46,1,1.33333333333333,1
46,1,1,0
46,1,2,0
46,1,1.66666666666667,1
46,1,1.66666666666667,0
46,4,1.33333333333333,1
46,4,1.66666666666667,0
46,4,1,0
46,4,2,0
46,4,1.66666666666667,1
47,1,1.33333333333333,1
47,1,1.66666666666667,0
47,1,3.33333333333333,1
47,1,3.66666666666667,0
47,1,2,0
47,1,2,0
47,1,1.66666666666667,0
47,4,1,1
47,4,1,0
47,4,1,0
47,4,1,0
47,4,1.33333333333333,0
47,4,1,0
47,4,2,0
47,4,1.33333333333333,0
47,4,1,0
47,4,1,0
47,4,1,0
47,4,1.66666666666667,1
48,1,2,0
48,1,1,0
48,1,1.33333333333333,0
48,1,1.66666666666667,0
48,1,1.33333333333333,1
48,1,2.66666666666667,1
48,4,2,0
48,4,1.66666666666667,1
48,4,1.33333333333333,0
48,4,2,1
48,4,2,0
48,4,2.33333333333333,0
49,1,1.33333333333333,0
49,1,1,0
49,1,2.33333333333333,1
49,1,2.66666666666667,0
49,1,2,1
49,1,1,0
49,1,2,0
49,1,2,0
49,1,2.66666666666667,0
49,4,1.66666666666667,0
49,4,1.66666666666667,1
49,4,1.66666666666667,0
49,4,1.66666666666667,0
49,4,1.66666666666667,0
49,4,1.33333333333333,0
49,4,2,0
49,4,2.66666666666667,1
49,4,1.66666666666667,0
51,1,2,1
51,1,1.33333333333333,0
51,1,2,0
51,1,2,0
51,1,1.66666666666667,1
51,1,1,0
51,4,1.66666666666667,0
51,4,1.66666666666667,0
51,4,2,0
51,4,2.33333333333333,1
51,4,1.66666666666667,0
51,4,2.33333333333333,0
51,4,1.66666666666667,1
52,1,1.33333333333333,0
52,1,1.66666666666667,1
52,1,1.33333333333333,0
52,1,1.66666666666667,0
52,1,1.33333333333333,0
52,1,1.66666666666667,1
52,1,1,0
52,4,1,0
52,4,1.33333333333333,0
52,4,1.66666666666667,0
52,4,1.33333333333333,0
52,4,2,1
52,4,2.33333333333333,1
53,1,1.33333333333333,0
53,1,1.33333333333333,0
53,1,1.66666666666667,0
53,1,3.33333333333333,1
53,1,1.33333333333333,0
53,1,1.66666666666667,1
53,1,1.33333333333333,0
53,1,2.33333333333333,0
53,4,1.66666666666667,0
53,4,1.66666666666667,1
53,4,2,0
53,4,1.66666666666667,0
53,4,2.33333333333333,1
53,4,2.66666666666667,0
54,1,1,0
54,1,1,0
54,1,1,0
54,1,1,0
54,1,1.66666666666667,1
54,1,1.33333333333333,1
54,1,1.33333333333333,0
54,4,1,0
54,4,1,1
54,4,1,0
54,4,1.66666666666667,0
54,4,1,0
54,4,1.66666666666667,1
54,4,1,0
55,1,2,1
55,1,1,0
55,1,1,0
55,1,1,0
55,1,2,1
55,4,1.33333333333333,0
